F,e,c,h,a
N,u,m,e,r,o,_,d,e,_,c,a,s,o,s
N,u,m,e,r,o,_,d,e,_,m,u,e,r,t,e,s
2020-04-27,22,1
2020-03-26,4,0
2020-04-10,12,2
2020-04-07,6,0
2020-04-14,10,2
2020-04-02,2,0
2020-04-11,7,2
2020-04-12,6,0
2020-03-20,2,1
2020-04-05,5,0
2020-05-05,6,0
2020-04-20,22,1
2020-04-04,9,1
2020-04-16,14,2
2020-04-29,20,0
2020-04-21,12,0
2020-03-31,4,1
2020-04-08,10,1
2020-04-24,22,0
2020-03-22,2,1
2020-03-11,2,0
2020-04-19,12,0
2020-03-12,2,0
2020-04-13,8,2
2020-03-23,2,0
2020-04-03,5,1
2020-04-25,20,0
2020-05-07,1,0
2020-04-01,12,2
2020-05-06,4,0
2020-04-09,11,2
2020-05-01,26,1
2020-04-26,19,0
2020-04-23,22,1
2020-03-19,2,0
2020-05-03,18,0
2020-03-25,2,0
2020-04-15,3,0
2020-05-02,23,0
2020-03-28,5,2
2020-04-18,15,1
2020-05-04,16,0
2020-03-16,2,0
2020-03-24,3,1
2020-03-17,4,0
2020-04-17,13,0
2020-04-28,21,0
2020-03-13,1,0
2020-03-27,5,2
2020-03-30,1,1
2020-04-30,28,1
2020-03-18,1,0
2020-04-22,17,0
2020-04-06,18,1
